"CODIGO";"ID FABRICANTE";"CATEGORIA";"DETALLE";"IMAGEN";"IVA";"STOCK";"GARANTIA";"MONEDA";"PRECIO";"PRECIO FINAL";"COTIZACION DOLAR";"PRECIO PESOS SIN IVA";"PRECIO PESOS CON IVA";"ATRIBUTOS";"PRECIO USD CON UTILIDAD";"PRECIO PESOS CON UTILIDAD";"CATEGORIA_USUARIO";"UTILIDAD";"DETALLE_USUARIO";"PESO";"ALTO";"ANCHO";"LARGO";"";"IMPUESTO_INTERNO"
"104510";"F 3000";"ACCESORIOS";"FLUX PASTERMAX MAX 3000 EN GEL";"https://static.nb.com.ar/i/nb_FLUX-PASTERMAX-MAX-3000-EN-GEL_export_14a5c6cfba2e1392ec711534e2a1509c.jpeg";"21.0%";"20";"6 meses";"U$S";"2.3";"2.78";"1375";"3158.53";"3821.82";"PRESENTACION: Jeringa de 10cc en caja.
APARIENCIA: Gel transparente, amarillo a ámbar claro.";"2.78";"3821.81";"";"";"FLUX PASTERMAX MAX 3000 EN GEL";"80";"150";"30";"80";"";"0"
"104510";"F 3000";"ACCESORIOS";"FLUX PASTERMAX MAX 3000 EN GEL";"https://static.nb.com.ar/i/nb_FLUX-PASTERMAX-MAX-3000-EN-GEL_export_630caf2cfb600d379720ce53dc06982d.jpeg";"21.0%";"20";"6 meses";"U$S";"2.3";"2.78";"1375";"3158.53";"3821.82";"PRESENTACION: Jeringa de 10cc en caja.
APARIENCIA: Gel transparente, amarillo a ámbar claro.";"2.78";"3821.81";"";"";"FLUX PASTERMAX MAX 3000 EN GEL";"80";"150";"30";"80";"";"0"
"104935";"23647";"ACCESORIOS";"ACCESORIOS BASE AURICULARES TRUST GXT 265 CINTAR RGB";"https://static.nb.com.ar/i/nb_ACCESORIOS-BASE-AURICULARES-TRUST-GXT-265-CINTAR-RGB_export_9aa21a53281c1ba04ba5addcad773562.png";"21.0%";"20";"12 meses";"U$S";"19.72";"23.86";"1375";"27116.38";"32810.81";"Power switch:no
Cable length main cable: 150 cm
Number of USB ports:2
USB version:2.0
Lights:yes
Compatible Device Types:laptop, pc
Compatible Consoles:no
Peso del producto (neto): 425 gPeso del producto (:425 g";"23.86";"32810.81";"";"";"ACCESORIOS BASE AURICULARES TRUST GXT 265 CINTAR RGB";"500";"140";"260";"140";"";"0"
"7557";"-";"ACCESORIOS";"ACCESORIOS SFX FICHA HDMI A DVI";"https://static.nb.com.ar/i/nb_ACCESORIOS-SFX-FICHA-HDMI-A-DVI_export_cf9fe8902fa5f652d66f4ee9d1b2ee89.jpeg";"21.0%";"20";"12 meses";"U$S";"5.64";"6.83";"1375";"7757.67";"9386.78";"Modelo:HDMI a DVI
Conector de entrada:HDMI
Conector de salida:DVI";"6.83";"9386.78";"";"";"ACCESORIOS SFX FICHA HDMI A DVI";"500";"140";"243";"140";"";"0"
"119975";"25584";"ACCESORIOS";"PILAS AA RECARGABLES USB-C TRUST X2";"https://static.nb.com.ar/i/nb_PILAS-AA-RECARGABLES-USB-C-TRUST-X2_export_27a06eb8e736e8349d16e1265a219378.png";"21.0%";"20";"12 meses";"U$S";"9.26";"11.2";"1375";"12732.23";"15405.99";"System Requirements:Cable USB-C Cargador de 5 W o puerto USB
 Input power:2.4W
Package Contents:2 pilas AA
 Total output power (max): A, W:400mW";"11.2";"15406";"";"";"PILAS AA RECARGABLES USB-C TRUST X2";"500";"140";"243";"140";"";"0"
"119975";"25584";"ACCESORIOS";"PILAS AA RECARGABLES USB-C TRUST X2";"https://static.nb.com.ar/i/nb_PILAS-AA-RECARGABLES-USB-C-TRUST-X2_export_9707bece8405b38c2b0ca344c9778612.png";"21.0%";"20";"12 meses";"U$S";"9.26";"11.2";"1375";"12732.23";"15405.99";"System Requirements:Cable USB-C Cargador de 5 W o puerto USB
 Input power:2.4W
Package Contents:2 pilas AA
 Total output power (max): A, W:400mW";"11.2";"15406";"";"";"PILAS AA RECARGABLES USB-C TRUST X2";"500";"140";"243";"140";"";"0"
"119976";"25585";"ACCESORIOS";"PILAS AAA RECARGABLES USB-C TRUST X2";"https://static.nb.com.ar/i/nb_PILAS-AAA-RECARGABLES-USB-C-TRUST-X2_export_17cc07d42b4c3e9ed39e2a846dc9d622.png";"21.0%";"20";"12 meses";"U$S";"7.19";"8.7";"1375";"9885.98";"11962.03";"Input power:1.2
Package Contents:2 pilas AAA
Total output power (max): A, W:400mW
System Requirements:Cable USB-C Cargador de 5 W o puerto USB";"8.7";"11962.03";"";"";"PILAS AAA RECARGABLES USB-C TRUST X2";"500";"140";"243";"140";"";"0"
"102393";"CPU G60 GRIS";"ACCESORIOS";"GRASA SILICONADA  PASTERMAX PARA CPU G60 (GRIS) PASTA TERMICA";"https://static.nb.com.ar/i/nb_GRASA-SILICONADA--PASTERMAX-PARA-CPU-G60-(GRIS)-PASTA-TERMICA_export_e181dc42479b07630704d262a9911623.jpeg";"21.0%";"20";"6 meses";"U$S";"1.96";"2.37";"1375";"2698.73";"3265.46";"Marca:PASTERMAX
Color:Plateado
Código universal de producto:841163042656
Es adhesivo:No
Largo:10 cm
Modelo:G60
SKU:PASTERC60
Unidades por envase:1";"2.37";"3265.46";"";"";"GRASA SILICONADA  PASTERMAX PARA CPU G60 (GRIS) PASTA TERMICA";"80";"150";"70";"80";"";"0"
"120103";"31250023400";"ACCESORIOS";"BASE NOTEBOOK GENIUS G-STAND M250 IRON GREY";"https://static.nb.com.ar/i/nb_BASE-NOTEBOOK-GENIUS-G-STAND-M250-IRON-GREY_export_9117e8e90bc8a2cf6bc1bf3d9a90fcdb.jpg";"21.0%";"20";"12 meses";"U$S";"10.98";"13.29";"1375";"15097.5";"18267.98";"Modelo:G-Stand M250
Tipo de soporte:Ajustable
Es vertical:No
Marca:Genius
Es antideslizante:Sí";"13.29";"18267.98";"";"";"BASE NOTEBOOK GENIUS G-STAND M250 IRON GREY";"500";"140";"243";"140";"";"0"
"120103";"31250023400";"ACCESORIOS";"BASE NOTEBOOK GENIUS G-STAND M250 IRON GREY";"https://static.nb.com.ar/i/nb_BASE-NOTEBOOK-GENIUS-G-STAND-M250-IRON-GREY_export_5eab15eb5e46edc9280954d0fd4d31bf.jpg";"21.0%";"20";"12 meses";"U$S";"10.98";"13.29";"1375";"15097.5";"18267.98";"Modelo:G-Stand M250
Tipo de soporte:Ajustable
Es vertical:No
Marca:Genius
Es antideslizante:Sí";"13.29";"18267.98";"";"";"BASE NOTEBOOK GENIUS G-STAND M250 IRON GREY";"500";"140";"243";"140";"";"0"
